สถานที่,จุดเด่น,ที่อยู่,วันที่เปิดทำการ,เวลาเปิดทำการ,รายละเอียดเพิ่มเติม,บูชา,ภาพสถานที่,หมวดหมู่
วัดแขก,เป็นวัดที่ศักดิ์สิทธิ์มากๆ สำหรับการไป ขอพรเรื่องความรัก ก็คือ พระอุมาเทวี,ถนนปั้น แขวงสีลม เขตบางรัก กรุงเทพฯ,"จ,อ,พ,พฤ,ศ,ส,อา ",06.00-20.00 น.,ในวันหยุด และวันนักขัตฤกษ์ เปิดทำการถึง 21.00 น.,ของถวายแนะนำ น้ำแดง น้ำเปล่า น้ำอ้อย ผลไม้และธัญพืชต่าง ๆ รวมไปถึงพวงมาลัยดาวเรือง ดอกบัว หรือดอกไม้ที่มีสีเหลืองและสีแดง ,https://drive.google.com/file/d/1CimET5LHVp87UBOIYlpUB3BL1Of_Vg3X/view?usp=sharing,ความรัก
วัดมหาบุศย์,ศาลแม่นาคพระขโนง ที่วัดมหาบุศย์ เป็นหนึ่งในสถานที่ที่ขอพรเรื่องความรักที่ศักดิ์สิทธิ์มากๆ,สุขุมวิท 77 ซอยอ่อนนุช 7 แขวงสวนหลวง กรุงเทพฯ,"จ,อ,พ,พฤ,ศ,ส,อา ", 07.30-17.30 น.,-,ของถวายที่แนะนำ คือ ผู้คนส่วนใหญ่ที่มาขอพรมักจะนำชุดไทย เครื่องประดับ และของเล่นเด็กมาถวาย,https://drive.google.com/file/d/1RbZecYTvyo9Hd_I2MVMI0yYVI9mQErr9/view?usp=sharing,ความรัก
วัดเทพมณเฑียร ,พระกฤษณะ จะขึ้นชื่อในเรื่องของการเป็นนักรบ และนักรัก และ พระนางราธาเทวี จะเป็นภรรยาที่ซื่อสัตย์ต่อพระกฤษณะ ทำให้หากใครได้มาไหว้ และ ขอพรความรัก ที่ วัดเทพมณเฑียร มักสมหวังและได้เนื้อคู่ที่ดีกลับไป,136 สำราญราษฎร์ 1-2 ถนนศิริพงษ์ แขวงเสาชิงช้า เขตพระนคร กรุงเทพฯ ,"จ,อ,พ,พฤ,ศ,ส,อา ", 08.00-17.30 น.,-,ของถวายที่แนะนำ คือ พวงมาลัย ดอกไม้สด หรือดอกกุหลาบสีขาว,https://drive.google.com/file/d/1ITWs37ey5IFzh0VMFpyRBXiqZW7twQxx/view?usp=sharing,ความรัก
วัดพระเชตุพนวิมลมังคลาราม (วัดโพธิ์) ,พระนอน ที่วัดโพธิ์เป็นปางของพระนารายณ์บรรทมสินธุ์ และมีความเกี่ยวข้องกับศาสตร์เลข 3 ซึ่งหมายถึงความรักของผู้หญิง ,เลขที่ 2 ถนนสนามไชย เขตพระนคร กรุงเทพฯ,"จ,อ,พ,พฤ,ศ,ส,อา ",09.00-18.00 น.,ตามความเชื่อแล้ว ควรจะไปกราบพระนอนในวันอังคาร,ของถวายแนะนำ ขนมจีบ 3 จับ กับน้ำยาปลา ธูป 8 ดอก เทียนสีผึ้ง 8 เล่ม ดอกบัว 8 ดอก และเงิน 8 บาท หลังไหว้เสร็จแล้วให้รอจนกว่าธูปหมด แล้วลาขนมจีนมาทาน จะทำให้ได้เจอเนื้อคู่ของตัวเองแน่นอน หรือ นำดอกบัวสีชมพูไปถวาย พร้อมกับทำบุญที่ตู้รับบริจาคเป็นจำนวนเงินที่ลงท้ายด้วยเลขคู่,https://drive.google.com/file/d/1r-TNwTvCPfrI1eo6ed8XF7j49ndfUtZx/view?usp=sharing,ความรัก
วัดท่าพระ,ที่วัดท่าพระ ภายในวิหารประดิษฐานมี หลวงพ่อเกษร พระพุทธรูปปูนปั้นศิลาหากมาขอพรเรื่องความรัก กับ หลวงพ่อเกษร วัดท่าพระ แห่งนี้ จะได้รับความรักที่สมหวัง และได้รับความเมตตา รวมถึงความสุขในชีวิต,20/1 ซอยจรัญสนิทวงศ์ 12 แขวงวัดท่าพระ เขตบางกอกใหญ่ กรุงเทพฯ,"จ,อ,พ,พฤ,ศ,ส,อา ",08.00-18.00 น.,-,ของถวายหรือของไหว้บูชาแนะนำว่าให้เป็นดอกไม้สดหรือพวงมาลัยดอกดาวเรือง เพื่อเสริมความรุ่งเรือง,https://drive.google.com/file/d/1LxGXd1i5GFofgs22WPBywg5e4s8ZT41M/view?usp=sharing,ความรัก
วัดคณิกาผล,ขอพรย่าแฟง มักขอในเรื่องการงาน เสริมดวง และความรักให้สุขสมหวัง โดยมีเกร็ดความเชื่อการไหว้ขอพรให้สัมฤทธิผลคือ ควรทำบุญและไหว้พระในวัดแห่งนี้เสียก่อน แล้วจึงค่อยมากราบขอพรจากย่าแฟง จึงจะได้พรดังปรารถนา,ถนนพลับพลาไชย แขวงป้อมปราบ เขตป้อมปราบศัตรูพ่าย กรุงเทพฯ ,"จ,อ,พ,พฤ,ศ,ส,อา ",07.00-18.00 น., แต่สำหรับคนที่อยากมาไหว้ย่าแฟง สามารถมาได้ถึงช่วงเวลา 22.00 น.,ของถวายเพื่อกราบไหว้ย่าแฟง ทางวัดมีชุดไหว้ให้บูชา,https://drive.google.com/file/d/1stC7Sof7-TXTO7DBhVFX98Dg4ydEeKO6/view?usp=sharing,ความรัก
วัดมัชฌิมาวาส,ขอพรเรื่องความรัก ก็คือที่ หลวงพ่อนาค?วัดมัชฌิมาวาส จังหวัดอุดรธานี ไม่ว่าจะเป็นความรักระหว่าง คู่รักหนุ่มสาว คู่ธุรกิจ พันธมิตร คู่พ่อแม่ลูก หรือความรักญาติพี่น้อง เพื่อนร่วมงานต่าง ๆ และความรักทุกประเภท ก็สามารถเข้า สักการะหลวงพ่อนาคเพื่อให้สมใจดั่งปรารถนาได้,"ถนนวัฒนานุวงศ์ ตำบลหมากแข้ง อำเภอเมืองอุดรธานี จังหวัดอุดรธานี เมืองอุดรธานี, อุดรธานี","จ,อ,พ,พฤ,ศ,ส,อา ",00.00-23.59 น.,-,"มีการไหว้ ขอพร หรือบนบานกล่าวคำสักการะหลวงพ่อนาค การสักการะขอพร หรือขอบนบาน เมื่อสิ่งที่ปรารถนาสมหวัง นิยมถวายของเป็นคู่ เช่น แจกัน เชิงเทียน พานดอกไม้ พวงมาลัย  และหลังจากที่ถวายสิ่งของแล้ว  มักจะตักน้ำมนต์ในโอ่งด้านหน้าอุโบสถ หรือด้านข้าง ""หลวงพ่อนาค"" มาประพรมตนเองเพื่อให้สมหวัง และมีความสุขสบายกายใจ",https://drive.google.com/file/d/1CYoajc46b1gpR7WMP8S5lIV8x1RRbKjS/view?usp=sharing,ความรัก
วัดพระธาตุศรีสองรัก ,ขอพรเรื่องความรัก ซึ่งมีตำนานความรักของชายหญิงคู่หนึ่งที่เกิดเหตุอยู่ในอุโมงค์พระธาตุแห่งนี้ ซึ่งคาดว่าทั้งสองหนีเข้าไปในอุโมงค์และช่างไม่รู้จึงก่อสร้างปิดอุโมงค์ไป จึงทำให้วิญญาณของทั้งสองปกปักรักษาองค์พระธาตุศรีสองรักมาถึงทุกวันนี้ สถานที่แห่งนี้จึงเป็นอีกหนึ่งแห่งที่นิยมขอพรด้านความรัก,เลขที่ 86 บ้านหัวนายูง หมู่ที่ 14 ตำบลด่านซ้าย อำเภอด่านซ่าย จังหวัดเลย,"จ,อ,พ,พฤ,ศ,ส,อา ",06.00-18.00 น.,-,"ข้อปฏิบัติในการขึ้นสักการะพระธาตุศรีสองรัก
     ก่อนจะขึ้นไปสักการะพระธาตุศรีสองรักนั้นมีข้อต้องปฏิบัติอยู่บ้าง ดังนี้

1.ห้ามใส่เสื้อผ้าสีแดง หรือสีที่ใกล้เคียงสีแดง รวมถึงสิ่งของสีแดงขึ้นไปยังองค์พระธาตุ เพราะสีแดงหมายถึงเลือด การสู้รบ การเป็นศัตรู
2.ห้ามผู้หญิงขึ้นไปบริเวณหน้าพระประธานในอุโบสถ และในกำแพงแก้วรอบองค์พระธาตุ เนื่องจากผู้หญิงร่างกายไม่บริสุทธิ์ในแต่ละเดือน (ประจำเดือน)
3.ห้ามสวมหมวก กางร่ม ใส่กางเกงขาสั้นเหนือหัวเข่าที่ไม่สุภาพ และห้ามใส่รองเท้าขึ้นไป
4.ห้ามนำเด็กอายุต่ำกว่า 3 ขวบขึ้นบริเวณองค์พระธาตุ เพราะอาจส่งเสียงดัง วิ่งเล่นซุกซนเข้าไปในที่ห้ามเข้า
5.ห้ามนำสัตว์ทุกชนิดขึ้นไปบริเวณองค์พระธาตุ                การเดินแห่ต้นผึ้งสำหรับที่นี่จะเดินเวียนซ้าย (ทวนเข็มนาฬิกา) เสร็จแล้วนำไปวางบริเวณฐานขององค์พระธาตุ เรียบร้อยแล้วจึงทำพิธี ซึ่งผู้หญิงสามารถไหว้อยู่ด้านนอกได้",https://drive.google.com/file/d/15CG-oEoXWstNpsd7rbYOwP8ss7sftFCd/view?usp=sharing,ความรัก
ศาลพระสทาศิวะ,ขอพรกับ พระสทาศิวะ หรือ พระศิวะ 5 เศียร ขอได้ไม่ใช่แค่เรื่องของความรักอย่างเดียวเท่านั้น แต่สามารถขอพรได้กับทุกเรื่องเลย ,ด้านหน้าห้างเซ็นทรัลเวิลด์ แขวงปทุมวัน เขตปทุมวัน กรุงเทพฯ,"จ,อ,พ,พฤ,ศ,ส,อา ",00.00-23.59,เวลาขอพรความรัก : 21.30 น.ของวันพฤหัสบดี ,ของถวายแนะนำ เน้นของที่เป็นสีแดง ไม่ว่าจะเป็นดอกกุหลาบ น้ำแดง ผลไม้สีแดง ไปจนถึงธูปและเทียนสีแดง,https://drive.google.com/file/d/1212BYR1TrvkTZcCecRnqVO9cMcDGo_wh/view?usp=sharing,ความรัก
พระแม่ลักษมี,พระแม่ลักษมีเป็นที่ศรัทธาในเรื่องความรัก และยังมีความเชื่อว่า การมาขอพรความรักกับพระแม่ลักษมี ไม่เพียงขอให้ได้สมหวังในเรื่องของความรักกับคนที่เรารักเท่านั้น ยังได้ในเรื่องของรักแท้ และซื่อสัตย์กับเราเพียงคนเดียวอีกด้วย,เกสร วิลเลจ ชั้น 4 แขวงปทุมวัน เขตปทุมวัน กรุงเทพฯ ,"จ,อ,พ,พฤ,ศ,ส,อา ",07.00-19.00 น.,-,ของถวายที่แนะนำ คือ แอปเปิลแดง น้ำมะพร้าว และดอกบัวสีชมพู น้ำเปล่า นม ผลไม้ 5 อย่าง กำยานเครื่องหอมต่างๆ ห้ามถวายสิ่งที่ทำมาจากเนื้อสัตว์เด็ดขาด,https://drive.google.com/file/d/1uNFy-Bq3Phu8sQ-_lLnBTbeMu79olYJN/view?usp=sharing,ความรัก
