ชื่อเครื่องราง,ภาพ,พิกัดขาย,ประเภทเครื่องราง,ความเชื่อ,วัสดุที่ใช้,ปีที่สร้าง,พิธีปลุกเสก,วัตถุประสงค์การใช้งาน,ราคาโดยประมาณ,ความนิยม,ความเกี่ยวข้องกับบุคคลสำคัญ,หมวดหมู่,,
ตะกรุดสาริกาลิ้นทอง,https://drive.google.com/file/d/113Gc620TCZqVDScjwYfOJhxoUL3NRUAF/view?usp=drive_link,วัดสังข์กระจาย,ตะกรุด,เสริมเมตตามหานิยม เสริมความรัก,"ทองคำ, เงิน",2540,ปลุกเสกโดยพระเกจิอาจารย์ชื่อดัง,พกติดตัวเพื่อเสริมความรัก,"7,000+",สูง,หลวงพ่อแพ,ความรัก,,
ตะกรุดสาริกาคู่,https://drive.google.com/file/d/1JxR-Kf__dB5hqhEEBEHbuZ6OPvMN58PL/view?usp=drive_link,วัดบวรนิเวศวิหาร,ตะกรุด,เสริมความรัก ความสัมพันธ์,"ทองคำ, เงิน",2545,ปลุกเสกในพิธีใหญ่,พกติดตัวเพื่อเสริมความรัก,"5,000+",กลาง,สมเด็จพระสังฆราช,ความรัก,,
พระขุนแผนมหาเสน่ห์,https://drive.google.com/file/d/1mJcFFjFBkUpcPfltbAM7Q8OtGkl-wqpD/view?usp=drive_link,วัดปทุมคงคา,พระเครื่อง,เสริมความรัก มหาเสน่ห์,เนื้อดิน,2515,ปลุกเสกในพิธีใหญ่,พกติดตัวเพื่อเสริมเสน่ห์,"15,000+",สูง,,ความรัก,,
พระขุนแผนบ้านกร่าง,https://drive.google.com/file/d/1FfgxPlFI7YRuLkewI6zvhPBpgndei1G0/view?usp=drive_link,วัดบ้านกร่าง (กรุงเทพฯ),พระเครื่อง,เสริมความรัก ความสัมพันธ์,เนื้อผงพุทธคุณ,2542,ปลุกเสกโดยพระเกจิอาจารย์ชื่อดัง,ตั้งบูชาหรือพกติดตัว,"12,000+",สูง,,ความรัก,,
ผ้ายันต์เสริมรัก,https://drive.google.com/file/d/1Dlz5CDP7ZoNFHLxeYZ5gDqQuA0wF-Ftc/view?usp=drive_link,วัดปทุมวนาราม,ผ้ายันต์,เสริมความรักและความสัมพันธ์,ผ้าไหม,2560,พิธีปลุกเสกใหญ่,พกติดตัวหรือวางไว้ที่บ้าน,"1,500+",กลาง,หลวงปู่ทวด,ความรัก,,
ตะกรุดสาริกามหานิยม,https://drive.google.com/file/d/1KLQfNPE0G0rHLEr5e6ft3Iatt9v_ybx2/view?usp=drive_link,วัดชนะสงคราม,ตะกรุด,เสริมเมตตามหานิยม ความรัก,"ทองคำ, เงิน",2548,ปลุกเสกโดยพระเกจิอาจารย์,พกติดตัวเพื่อเสริมความรัก,"8,000+",สูง,หลวงพ่อพูน,ความรัก,,
พระกริ่งเทพรัก,https://drive.google.com/file/d/1iRsxcPkmScz3-u3qObPvlJO7T9u7Aqsg/view?usp=drive_link,วัดราชบพิธสถิตมหาสีมาราม,พระเครื่อง,เสริมความรักและเสน่ห์,เนื้อทองคำ,2555,ปลุกเสกโดยสมเด็จพระสังฆราช,ตั้งบูชาหรือพกติดตัว,"25,000+",สูง,สมเด็จพระสังฆราช (ช่วง),ความรัก,,
เครื่องรางหินโรสควอตซ์,https://drive.google.com/file/d/110NCQF_Y-eCTz-6v7XqLNq15XJjOQca-/view?usp=drive_link,ศาลหลักเมืองกรุงเทพ,หินมงคล,เสริมความรัก ความสัมพันธ์,หินโรสควอตซ์,2562,พิธีบวงสรวงใหญ่,พกติดตัวเพื่อเสริมความรัก,"1,200+",กลาง,,ความรัก,,
ตะกรุดนางกวักมหาเสน่ห์,https://drive.google.com/file/d/1XZFzSf36flLF03x04BrctmxOmhJDPROF/view?usp=drive_link,วัดบางพลัด,ตะกรุด,เสริมเสน่ห์ ความรัก,ทองแดง,2550,ปลุกเสกโดยหลวงปู่ทวด,พกติดตัวเพื่อเสริมเสน่ห์,"6,000+",กลาง,หลวงปู่ทวด,ความรัก,,
หินมงคลเพชรนาคา,https://drive.google.com/file/d/1EfoK6VeFSBZ-hD3bkRg8nFcTZBthaxuA/view?usp=drive_link,วัดสระเกศราชวรมหาวิหาร,หินมงคล,เสริมความรักและโชคลาภ,หินศักดิ์สิทธิ์,2557,พิธีบวงสรวงภูเขาทอง,ตั้งบูชาหรือพกติดตัว,"2,000+",กลาง,,ความรัก,,
พระนางพญา,https://drive.google.com/file/d/190Vb5gZhG_suD0F2tgtaqMmUWOa5iVNR/view?usp=drive_link,วัดนางพญา (กรุงเทพฯ),พระเครื่อง,เสริมเมตตามหานิยม,เนื้อดิน,2495,ปลุกเสกโดยเกจิหลายท่าน,บูชาเพื่อเสริมเมตตามหานิยม,"50,000+",สูง,หลวงพ่อแพ,ความรัก,,
ลูกสะกดมหาเสน่ห์,https://drive.google.com/file/d/1Z_pRqocchA7Xxm4woa25PmUQW9_lan6C/view?usp=drive_link,"วัดพระยาสุเรนทร์, กรุงเทพ",ลูกสะกด,เสริมเสน่ห์และความรัก,เนื้อผง,2558,ปลุกเสกโดยพระเกจิดัง,พกติดตัวเพื่อเสริมความรักและความสัมพันธ์,"1,500+",กลาง,,ความรัก,,
เครื่องรางดวงตราแห่งวีนัส,https://drive.google.com/file/d/1cuuAnYfY7LXuNjJymDNwv3Y_l1D4dbuu/view?usp=drive_link,"วัดเทพมณเฑียร, กรุงเทพ",เครื่องราง,เสริมเสน่ห์และความรัก,โลหะ,2560,ปลุกเสกในพิธีบวงสรวง,สวมใส่เพื่อเสริมความสัมพันธ์และความรัก,"5,000+",สูง,,ความรัก,,13 รูป
พระขุนแผนพรายกุมาร,,วัดสุทัศนเทพวราราม,พระเครื่อง,เสริมเสน่ห์ ความรัก,เนื้อดิน,2550,ปลุกเสกโดยหลวงพ่อพระครู,พกติดตัวเพื่อเสริมความรัก,"10,000+",สูง,หลวงพ่อทวด,ความรัก,,
หินโรสควอตซ์เมตตา,,ศาลหลักเมืองนครศรีธรรมราช,หินมงคล,เสริมความรัก ความสัมพันธ์,หินโรสควอตซ์,2565,พิธีบวงสรวงใหญ่,พกติดตัวเพื่อเสริมเสน่ห์,"1,500+",กลาง,,ความรัก,,
